author,authorLink,content,forward,forward,comments,fabulous,time,source
南川消防,https://weibo.com/5398946779?refer_flag=1001030103_,【延期三年的婚礼 我与你共同等待】郑雅祺，南川区南城消防救援站的一名普通消防员，加入消防队伍的9年来，他用汗水和泪水书写着消防人的坚守。庚子鼠年春节，新冠病毒疫情袭击全国。为迎战“新冠”疫情，本该穿上帅气的西装，手捧鲜花站在婚礼舞台的他，推迟假期，取消婚礼，换上火焰蓝制服，坚守在工作岗位上，默默投身这场没有硝烟的疫情防控阻击战。 ,,,,,8秒前,UC浏览器电脑版
榴槤Durian,https://weibo.com/1780681032?refer_flag=1001030103_,今日份开心 🥳终于有项目找上门，有活儿干了抱住了国家的大腿，饭碗有了品了一个多月都没品过的咖啡，满意ps.疫情期间的打的日常,,,,,8秒前,iPhone
湖南卫视,https://weibo.com/1638629382?refer_flag=1001030103_,#同江同湖同舟共济##湖南防控新型肺炎# 判断疫情结束的标准是什么？我们一起继续努力吧！ L湖南卫视的微博视频,,, 12,16,8秒 转赞人数超过10,
深圳特区报,https://weibo.com/1893278624?refer_flag=1001030103_,【用人单位新冠肺炎疫情应急处理工作流程】O网页链接,,,,,10秒前,iPhone X
邀您看三山,https://weibo.com/3257891674?refer_flag=1001030103_,安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应O安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应,,,,,11秒前,微博 weibo.com
潍坊晚报,https://weibo.com/1802564537?refer_flag=1001030103_,【潍坊高密出台七项措施支持外贸企业应对疫情稳定发展】#潍坊全民总动员，坚决打赢防疫阻击战#2月25日，潍坊晚报记者采访了解到，潍坊高密市为了支持辖区内的外贸企业有力应对疫情，健康稳定发展，专门出台了七项措施对这些企业进行政策扶持，暂定执行时间至2020年6月20日。据悉，接下来高密市将针对外贸企业加大出口信用保险支持力度。对投保出口信用保险的企业，按实际缴纳保费的20%给予补贴；同时将实施原产地证书“不见面申领”。向潍坊海关申请原产地证书的企业，可通过晟绮港储国际物流公司“国际贸易单一窗口”或“互联网+海关”一体化网上办事平台自助打印；再就是及时出具不可抗力证明。受疫情影响无法如期履行或不能履行国际贸易合同的企业，可通过高密市商务局向潍坊市贸促会申请出具不可抗力事实性证明。另外，鼓励企业通过电子商务平台开展业务。对利用电子商务平台开展外贸业务实际发生的推广费用给予补助；同时，还将提供便捷出口退（免）税服务。加快出口退税进度，确保及时足额退税。还将加大金融支持力度。鼓励各银行业金融机构进一步压降成本费率，降低外贸企业的综合融资成本，积极开展贷款展期业务；还将切实减轻企业负担。对在疫情期间承租国有企业或国有控股企业经营用房的进出口企业，免收2020年上半年房租。（潍坊晚报记者 赵春晖 通讯员 王翔 编辑 冯媛媛 审核 李东杰） ,,,,,11秒前,微博 weibo.com
南宁晚报,https://weibo.com/2685336121?refer_flag=1001030103_,【最近，骗子可能会这样骗你】#抗击疫情公安在行动# 近期，各地已陆续复工复产，但骗子却从未下线，大家不仅要全力防疫，还要……好好防骗！（西南铁警）L广州公安的微博视频,,,,,12秒前,微博 weibo.com
乌兰察布广播电视台微博,https://weibo.com/5538374437?refer_flag=1001030103_,#乌兰察布头条# 【《逆行者》 礼敬防疫一线的逆行者】有一种力量，叫众志成城；有一种感动，叫守望相助；在抗击新冠肺炎疫情的这场战役中，土默特左旗的各族儿女，携手挺立在战“疫”一线，筑起守护百姓安康的“防护墙”。致敬每一位“逆行者”，有你们，这一仗，一定赢！（作者：中共土默特左旗委员会、土默特左旗人民政府）（点击链接了解详情O网页链接） L乌兰察布广播电视台微博的微博视频 ,,,,,11秒前,专业版微博
新浪厦门,https://weibo.com/1740522895?refer_flag=1001030103_,#防抗新型冠状病毒肺炎#【守卫心理防线赢战“疫”！厦门全市心理咨询热线公布】#2020一定赢# 疫情当前，铺天盖地的信息以及严密的防控措施让一部分人感到焦虑和紧张。照顾好自己的情绪是第一免疫力。为打赢这场战“疫”，先从守卫心理防线开始！为此，厦门一批服务机构开放咨询热线。疫情之下，每一颗心都需要被呵护，请大家关心身边人，及时疏导，一起迎接战“疫”的胜利！通过自评量表，先对自己的健康情况做一个判断吧~O网页链接 （台海网） ,,,,,11秒前,微博 weibo.com
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6873,今天08:54,微博 weibo.com
EUTOPOS林子路,https://weibo.com/1304600361?refer_flag=1001030103_,宅在北京的家想起小时候守在奶奶身边剥豆子的时光美好的愿望是疫情之后忠于生活实际的情形必是疫情之后疯狂加速#抗疫行动#,,,,,12秒前,iPhone XS Max
央视军事,https://weibo.com/6189120710?refer_flag=1001030103_,【又一批！#部队援助物资运抵武汉#】根据军委国防动员部统一部署，由河北省军区筹措的第3批支援武汉抗击疫情的援助物资今天运抵江城。驻鄂部队抗击疫情运力支援队第一时间将物资送往火神山医院、中部战区总医院等10个抗疫一线医疗点位。#为武汉加油#（记者李迎新 邢澎峰）,,,,2,13秒前,微博 weibo.com
南川消防,https://weibo.com/5398946779?refer_flag=1001030103_,【延期三年的婚礼 我与你共同等待】郑雅祺，南川区南城消防救援站的一名普通消防员，加入消防队伍的9年来，他用汗水和泪水书写着消防人的坚守。庚子鼠年春节，新冠病毒疫情袭击全国。为迎战“新冠”疫情，本该穿上帅气的西装，手捧鲜花站在婚礼舞台的他，推迟假期，取消婚礼，换上火焰蓝制服，坚守在工作岗位上，默默投身这场没有硝烟的疫情防控阻击战。 ,,,,,14秒前,UC浏览器电脑版
深圳特区报,https://weibo.com/1893278624?refer_flag=1001030103_,【用人单位新冠肺炎疫情应急处理工作流程】O网页链接,,,,,16秒前,iPhone X
潍坊晚报,https://weibo.com/1802564537?refer_flag=1001030103_,【潍坊高密出台七项措施支持外贸企业应对疫情稳定发展】#潍坊全民总动员，坚决打赢防疫阻击战#2月25日，潍坊晚报记者采访了解到，潍坊高密市为了支持辖区内的外贸企业有力应对疫情，健康稳定发展，专门出台了七项措施对这些企业进行政策扶持，暂定执行时间至2020年6月20日。据悉，接下来高密市将针对外贸企业加大出口信用保险支持力度。对投保出口信用保险的企业，按实际缴纳保费的20%给予补贴；同时将实施原产地证书“不见面申领”。向潍坊海关申请原产地证书的企业，可通过晟绮港储国际物流公司“国际贸易单一窗口”或“互联网+海关”一体化网上办事平台自助打印；再就是及时出具不可抗力证明。受疫情影响无法如期履行或不能履行国际贸易合同的企业，可通过高密市商务局向潍坊市贸促会申请出具不可抗力事实性证明。另外，鼓励企业通过电子商务平台开展业务。对利用电子商务平台开展外贸业务实际发生的推广费用给予补助；同时，还将提供便捷出口退（免）税服务。加快出口退税进度，确保及时足额退税。还将加大金融支持力度。鼓励各银行业金融机构进一步压降成本费率，降低外贸企业的综合融资成本，积极开展贷款展期业务；还将切实减轻企业负担。对在疫情期间承租国有企业或国有控股企业经营用房的进出口企业，免收2020年上半年房租。（潍坊晚报记者 赵春晖 通讯员 王翔 编辑 冯媛媛 审核 李东杰） ,,,,,17秒前,微博 weibo.com
南宁晚报,https://weibo.com/2685336121?refer_flag=1001030103_,【最近，骗子可能会这样骗你】#抗击疫情公安在行动# 近期，各地已陆续复工复产，但骗子却从未下线，大家不仅要全力防疫，还要……好好防骗！（西南铁警）L广州公安的微博视频,,,,,18秒前,微博 weibo.com
乌兰察布广播电视台微博,https://weibo.com/5538374437?refer_flag=1001030103_,#乌兰察布头条# 【《逆行者》 礼敬防疫一线的逆行者】有一种力量，叫众志成城；有一种感动，叫守望相助；在抗击新冠肺炎疫情的这场战役中，土默特左旗的各族儿女，携手挺立在战“疫”一线，筑起守护百姓安康的“防护墙”。致敬每一位“逆行者”，有你们，这一仗，一定赢！（作者：中共土默特左旗委员会、土默特左旗人民政府）（点击链接了解详情O网页链接） L乌兰察布广播电视台微博的微博视频 ,,,,,17秒前,专业版微博
新浪厦门,https://weibo.com/1740522895?refer_flag=1001030103_,#防抗新型冠状病毒肺炎#【守卫心理防线赢战“疫”！厦门全市心理咨询热线公布】#2020一定赢# 疫情当前，铺天盖地的信息以及严密的防控措施让一部分人感到焦虑和紧张。照顾好自己的情绪是第一免疫力。为打赢这场战“疫”，先从守卫心理防线开始！为此，厦门一批服务机构开放咨询热线。疫情之下，每一颗心都需要被呵护，请大家关心身边人，及时疏导，一起迎接战“疫”的胜利！通过自评量表，先对自己的健康情况做一个判断吧~O网页链接 （台海网） ,,,,,17秒前,微博 weibo.com
思想聚焦,https://weibo.com/1742566624?refer_flag=1001030103_,#在家努力学习的乡村孩子#看不出牌子的电视机和手机当课堂，空旷的院子当教室，几条简易凳子当书桌，今天被网上几张乡村孩子努力学习的照片感动到泪目。整个春节以来，全国人民的心情都因为疫情笼罩上一层阴云，但尽管如此，还是有很多人逆着困境努力生活，照片中的乡村孩子就是这样。“千磨万击还坚韧”，说的就是他们吧！ , 4, 4, 1,30,20秒前 转赞人数超过30,微博 weibo.com
中国日报,https://weibo.com/1663072851?refer_flag=1001030103_,#抗疫在一线#【#伊朗小哥坚守武汉#，为医护人员送温暖】在武汉的Wakanda咖啡馆，来自伊朗的咖啡师西纳•卡拉米成为疫情中的坚守者。咖啡馆附近有几家收治新冠肺炎患者的医院，咖啡馆每天给医院免费送咖啡，为战斗在一线的医务人员提供后勤支持。小哥说：“我爱这个城市、这些人。在一切正常的日子中，他们一直对我非常好。现在，他们面临困难了，我也不会抛下他们。” L中报视频的秒拍视频 , 7, 7, 8,60,30秒前 转赞人数超过50,微博 weibo.com
不太老,https://weibo.com/5781008098?refer_flag=1001030103_,新闻图片精选1，消毒中的韩国议会。2，2月23日，韩国大邱，送到医院的感染者。3，2月23日，意大利出现疫情已被当局封锁的Castiglione D'Adda镇外巡逻的警察。4，2月24日，日本东京涉谷购物区的民众。,,,,,24秒前,微博 weibo.com
江西省红十字会,https://weibo.com/3032145314?refer_flag=1001030103_,【赣鄂同心，共抗疫情】湖北胜，则全国胜。为支援湖北抗击新冠肺炎疫情，江西省红十字基金会积极动员社会人道力量，募集防疫专项款物，在省防疫指挥部的统一调度下，截止2月25日，共向湖北地区拨付防疫防控款9笔，金额631.62万元，防疫物资11余万件，价值841.07万元，送去了江西老表与湖北人民共克时艰的拳拳深情和有力支持。“把最急需的物资送到湖北去”N95口罩、防护服等是医疗一线最急需的防护装备。2月初，防疫物资最紧张之际，江西省红十字基金会向武汉大学中南医院、同济医院附属协和医院捐赠了N95防护口罩16081个，护目镜676副、防护服44件、外科口罩140个、手套48100副、防溅面罩185个、消毒酒精擦纸17600张，缓解了一线防疫物资短缺的燃眉之急。2月14日，又向我省定点援助的随州市捐赠了4辆江铃全顺负压救护车，已在随州市中心医院、广水市第一人民医院、随县人民医院、随州市曾都医院投入使用，有效地保障了转运患者中的安全。关怀“逆行者”，支援第一线从1月29日起，江西陆续派出7批援鄂医疗队，直接支援湖北抗疫第一线。关怀这些逆行的白衣战士，就是对抗疫一线最直接有力的支持。省红十字基金会设立红十字人道救助基金，对我省疫情防治一线的医疗人员及其家属开展人道关怀，先后5次，向江西省疫情防控援鄂医疗队成员拨付慰问款115万元，为医疗队队员购买了价值12万余元的羽绒服。此外，医疗队还收到了爱心企业捐赠的2202盒金水宝胶囊，帮助医务人员改善肺功能，提高机体免疫力，保持“战斗力”。爱心还在继续，援助不会断线。江西各界的爱心正源源不断地送去湖北抗疫一线，直到防疫阻击战全面胜利的那天。 ,,,,,26秒前,专业版微博
