author,authorLink,content,forward,forward,comments,fabulous,time,source
济南市人民检察院,https://weibo.com/5488461006?refer_flag=1001030103_,【民警辅警在防疫中的安全如何保证？科学精准防控应对标哪些技术要求？】民警辅警在防疫战中要承担哪些任务？针对办公场所、中小学复课复学、养老机构等，技术方案有哪些要求？在2月26日《新闻1+1》节目中，白岩松连线公安部治安管理局副局长钱熊飞、中国疾控中心环境所所长施小明，解读大家关心的疫情问题。L检察日报的微博视频 ,,,,,36分钟前,360安全浏览器
明月我家,https://weibo.com/5282792576?refer_flag=1001030103_,留学生复学受阻：泰国成最热门中转站，中转人数暴增237倍随着境内外进入开学季，国内院校相继推出网上授课的同时，因疫情滞留在国内的留学生出境复学则受到了不少阻力。此前的2月1日，澳大利亚宣布禁止所有在中国大陆的非澳大利亚公民入境，超过10万留学生滞留中国大陆。不过，继澳大利亚移民局发布官方文件，明确持有合法有效的学生签证并在中国大陆境外连续停留14天以上就可进入澳大利亚后，留学生纷纷选择从其他国家中转返回澳大利亚。去哪儿网数据显示，近一个月内，16-24岁学生群体经第三国中转前往澳大利亚的人数较去年同期增长97%。受到出入境政策的限制，政策较为宽松的泰国、马来西亚、日本成为热门中转地。其中，泰国成为最热门的中转地国家。根据去哪儿网的数据，16-24岁的学生群体，由泰国前往澳洲的人数较去年同期暴增237倍，马来西亚、日本紧随其后，分别同比增长12.9倍和6.14倍。2月24日，据澳大利亚SBS广播公司消息，澳大利亚政府将逐步“解绑”中国留学生旅行禁令，目前已取消对11、12年级来自中国内地除湖北地区的学生的旅行禁令。数据显示，泰国、日本、阿联酋等国家也成为了除澳大利亚外，其他各国留学生中转回校的热门中转地。其中，近期前往阿联酋的人数大幅增长，其中经迪拜出境的人数较去年增长57%，16-24岁的学生群体增长近2倍。从目的地来看，去哪儿网数据显示，前往欧洲的留学生倾向从阿联酋、日本、泰国中转，其中经日本前往英国的留学生较去年同期增长1.67倍，经泰国中转的增长7倍，而在法国的读书的留学生们，阿联酋成为其最喜欢的中转地。北美方向，经泰国中转前往美国的留学生人数增长29.5倍，经日本中转的增长1.7倍；前往加拿大的留学生经日本中转的人数增长7倍，通过新加坡前往加拿大的留学生增长3倍。在今年春节长假出境游大幅下降的同时，留学生群体的出境人数与去年几乎持平。去哪儿网数据显示，近一个月，出境人数较去年同期下降近4成，其中赴泰国人数降低32%，赴马来西亚人数降低45%，赴日本人数降低41%。而16-24岁留学生群体出境人数较去年同期下降仅为1%，留学生成为出境的主要人群。 ,,,,,49分钟前,微博 weibo.com
新浪四川,https://weibo.com/1649469284?refer_flag=1001030103_,【四川省疾控中心致全川人民的第三封信】2月26日，省疾控中心向全川人民发出了第三封信。信中说——亲爱的父老乡亲：你们好！我省新冠肺炎疫情突发公共卫生事件响应级别调整为II级。一个多月来，我们团结一致、共同抗“疫”，取得了阶段性成效。同时，我们也要清醒看到，疫情防控还没有取得最终胜利，全省响应级别调整不意味大家由此可放松防控工作，更不意味着可“鸣金收兵”。新冠肺炎是新发传染病，目前仍没有特效药物，采取一定的社会管控措施是必要的。我们要按照分区分类要求，有序复工复产复学，以更高标准做好精准防控工作，保证大家生命安全和身体健康。为此，在当前疫情应急响应级别调整时，建议：1、继续加强疫情防范意识，决不放松防控工作。2、尽量减少出行和聚会，必须前往人员密集的场所时，要全程佩戴口罩，尽量缩短逗留时间。3、上下班尽量避免多人同行，乘坐公共交通工具时，要避免聚集，全程佩戴口罩，触摸扶手等公用物品后要及时洗手。4、家庭常清洁、多通风，提倡“展示”厨艺、在家用餐，营造和谐家庭氛围，倡导健康生活方式。5、复工单位要做好口罩、消毒液等防护物资储备，开展员工健康培训，加强体温、症状监测，建立员工健康台账。6、办公室内请保持通风、清洁，多人同处一室时要佩戴口罩。加强工作区域、餐厅、洗手间等重点场所和门把手、电梯按钮等公用设施的预防性消毒。7、社区要继续压实属地责任，落实联防联控、群防群控，实行网格化管理，做好辖区内人员摸排、健康监测登记。当出现病例或疫情，做好密切接触者管理和社区内环境消毒。8、社区要加强环境整治和健康宣传，对居民小区、垃圾站、建筑工地等重点场所进行卫生清理，消除鼠、蟑、蚊、蝇孳生环境。亲爱的父老乡亲们，这次新冠病毒隐匿性强、传染性烈、危害性大，我们现仍处在新冠肺炎疫情期间，任何麻痹大意和疏忽都可能导致前功尽弃！我们要继续保持高度警惕，不给新冠病毒任何机会，直到取得彻底的胜利。见字如面、齐心战疫，我们一直在一起！四川省疾控中心2020年2月26日新闻来源：@成都日报锦观 #抗击疫情四川在行动# , 9, 9, 36,205,53分钟前 转赞人数超过100,iPhone X
张家口突发,https://weibo.com/3978275025?refer_flag=1001030103_,#张家口身边事#【明天起张家口将恢复至县区部分客运班线】张家口通泰运输集团有限公司关于恢复部分客运班线及定制包车业务的通告：根据河北省应对新型冠肺炎疫情工作领导小组交通检疫组印发《关于做好疫情防控期间交通运输保障促进复工复产复学指导意见》的通知（冀交检﹝2020﹞26号）和张家口市新型冠状病毒肺炎疫情工作领导小组办公室印发的《张家口市开工复工复市开学疫情防控总体方案》（张防领办﹝2020﹞50号）的文件精神，按照市委、市政府关于疫情防控期间的工作要求和部署，并结合我市当前疫情防控形势，为保障旅客出行及外出务工人员安全有序返岗复工，经市委、市政府批准，自O2020年2月27日7时起 ，张运集团将逐步恢复部分客运线路及定制包车业务，具体通告如下：一、恢复客运线路范围恢复张家口至各区各县客运班线，具体发车信息以始发汽车站公告为准。二、运营时间各汽车客运站根据各区县疫情防控形势及班线客流情况合理安排车辆运营时间，并适时调整。三、开通定制班车业务张运集团为复工复产企事业单位提供定制包车业务，对外出务工人员提供返岗复工服务保障，组织点对点、一站式服务。四、实名制登记乘车乘客全部实行实名制售票，乘车旅客对个人信息及联系方式进行实名制登记。五、线路运营保障措施1、各汽车客运站全部配备了红外线测温仪，对候车室、售票处进行定时消毒，并严格执行“三不进站，六不出站”制度。2、车辆运营期间，实行“三个一”制度，即“一趟次一保洁、一趟次一消毒、一趟次一通风”，每天发车前1小时和收车后，对全车各个部位进行全方位消毒处理，防止车辆带病毒运营，同时，及时清理车内垃圾，保持车内清洁，认真做好车辆清洁消毒记录和标识。3、严格做好司乘人员防护工作，每日测量体温，体温正常佩戴口罩方可上岗。上岗人员要求签订承诺书和开具健康证明，三类人员（与新冠病人密切接触人员、发热人员、近期有往返疫区经历人员）不准上岗。4、运营车辆载客不得超过核定载客人数的50%，乘客隔位、分散就座。车辆实行直达运营方式，中途严禁上下旅客。六、乘车须知1、各汽车客运站对每位乘客在乘车前需进行体温测量，乘车时必须全程规范佩戴口罩，未佩戴口罩或拒不测量体温的，不予乘车；禁止在车厢内随地吐痰、乱扔垃圾。2、为做好疫情防控，建议乘客尽量采取网上售票乘车。乘客在候车时，乘客之间保持1米以上距离。感谢各位旅客的大力支持与配合！咨询电话：8039085 13833322667张家口通泰运输集团有限公司2020年2月26日 , 6, 6, 19,45,56分钟前 转赞人数超过40,iPhone 11
亚澜家的萌萌,https://weibo.com/2924234334?refer_flag=1001030103_,山东启用复工复学健康通行卡 O山东启用复工复学健康通行卡,,,,,今天17:52,学习强国客户端
陆丰发布,https://weibo.com/3236201210?refer_flag=1001030103_,#陆丰要闻#在疫情防控新阶段，陆丰市教育部门提前谋划，跑在时间前头，细致准备，一手抓疫情防控，一手抓返岗返校，全力以赴做好返校复学各项准备工作。O陆丰市科学推进疫情防控 有序安排复学“不断线”,,,,,今天17:43,360安全浏览器
沉默的羔羊Mak,https://weibo.com/1908179804?refer_flag=1001030103_,钟老还是别出来制造过多的恐慌吧，前阵子不是粪便就是粘液。 现在湖北省外的疫情基本得到控制，现在最赶紧的是复工复学，一切回归正常。,,, 1,2,今天17:24,iPhone客户端
一叶舟QQ2018,https://weibo.com/2253235572?refer_flag=1001030103_,延期到钟老预测的4月底复学最保险！教学进程可以采取网络教学～,,,,,今天17:22,iPhone
大瑜儿治水,https://weibo.com/5936515843?refer_flag=1001030103_,天哪，难道是因为在家待久了原因吗?为什么看到新闻上说某些地区开始做好复学准备了，我竟然有些害怕甚至不想开学 2青岛,,, 2,2,今天17:15,荣耀20
新县广播电视台,https://weibo.com/5077694496?refer_flag=1001030103_,星夜兼程，千里驰援！同学们，消毒仓来啦！广州新县乡亲会100余位新县老乡，众筹200余万元三次为家乡抗疫工作捐款捐物。就在刚刚，6台消毒仓从广东星夜兼程，顺利抵达新县，进入校园，将为孩子们疫情后的复学建起一道安全屏障。30多个日日夜夜，在粤乡亲们的操心、操劳，从口罩到消毒仓，凝聚着游子们对家乡的一片赤子之心。岂曰无衣？与子同袍。在大家的努力下，老区新县，一定会同全国人民一道，共克时艰，战胜疫情。谢谢您！广州新县乡亲会！谢谢您！关心家乡的每一位爱心人士！ , 1, 1,,7,今天17:06,专业版微博
Vronica阿维,https://weibo.com/6997911917?refer_flag=1001030103_,不能掉以轻心啊！！！现在挺担心国外疫情会反扑，以及复工潮的人口流动。之后分批复工复学，在海关处严密测温是最好的解决办法。 O钟南山预测四月底疫情会得到基本控制，后期对疫情防控的重心是什么?,,,,,今天16:59,HUAWEI G9 青春版
广林子--松山梧桐雨,https://weibo.com/2483051123?refer_flag=1001030103_,热门#热点# 疫情仍处“最吃劲”的关键阶段，拐点并没有到来，所以并没有复学而是网络教学；分区分级在做好疫情防控措施基础上的有序复工复产，只是“两弊相权取其轻”的不得已措施，风险依然存在，现在远未到不设防全面放开的时候！至于另一方面，只能是人的惰性使然。 O疫情已开始好转，为什么你一点也不期待开学上班了?,,, 14,3,今天16:58,荣耀V20 4800万3D相机
real翰林,https://weibo.com/2968607347?refer_flag=1001030103_,今天16:48  来自 iPhone X,,,,,今天16:48,iPhone X
蓝山新闻,https://weibo.com/2815405804?refer_flag=1001030103_,【县教育系统超前谋划备战复学】25日，县教育局开始对全县各中小学校及幼儿园进行立式人脸识别及体温监测仪的踩点和安装，预计月底前可全部安装完毕并交付使用。为全面做好复学准备工作，县教育局多渠道筹集资金230余万元，为学校采购了73套人脸识别及体温检测仪、40余万个口罩等防疫物资，并下发相关文件，多措并举开展防控工作，为下一步正常开学提前做好准备。O网页链接 ,,,,,今天16:47,360安全浏览器
美丽陇川,https://weibo.com/5127643134?refer_flag=1001030103_,陇川县教育工委“四到位”全力做好复学准备工作！自新冠肺炎疫情爆发以来，陇川县教育工委积极响应上级党组织号召，充分发挥党组织的战斗堡垒和党员的先锋模范作用，围绕“四到位”全力做好复学准备工作，切实履行部门职责，做到疫情防控和教学工作两不误。截止目前，完成陇川县籍在武汉就读大学生跟踪排查66人；完成全县师生寒假去向跟踪排查37800余人次；开展2020年1月15日及15日以后从德宏辖区以外进入陇川县的教职员工和学生跟踪排查，累计排查了38618人，截止2月25日从外面返回陇川县的师生共计2058人；完成在陇川就读缅籍学生去向跟踪排查468人；完成陇川籍在省外就读大学生健康状况排查570人。#目瑙纵歌之乡陇川# ,,,,,今天16:46,360安全浏览器
嘎嘎9831,https://weibo.com/2100268084?refer_flag=1001030103_,今天16:40  来自 iPhone客户端,,,,,今天16:40,iPhone客户端
要这里想,https://weibo.com/1784193121?refer_flag=1001030103_,今天16:36  来自 微博 weibo.com,,,,1,今天16:36,微博 weibo.com
jia宝贝儿,https://weibo.com/1730274577?refer_flag=1001030103_,#肖战三十三旁白# 肖战 一起等来春暖花开一起等来复工复学一起等来自由的呼吸,,,,,今天16:32,iPhone客户端
研究造就价值,https://weibo.com/6582127423?refer_flag=1001030103_,开干啊海教园，现在学校都停课了，复学还很早，估计也没啥要上学的刚需了#海教园# #天津# #楼市# #房价#,,, 1,,今天16:27,iPhone 6s Plus
递勺人,https://weibo.com/2683086522?refer_flag=1001030103_,家周边防控已经开始松懈了我看这次会搞成啥样我想赶快复学能满足我这个毕业生卑微的愿望吗,,, 3,1,今天16:25,iPhone客户端
贾绍-绍哥,https://weibo.com/7152595603?refer_flag=1001030103_,今天 16:25 转赞人数超过30  来自 HUAWEI Mate 9,,, 16,34,今天 16:25 转赞人数超过30,HUAWEI Mate 9
平安平阴,https://weibo.com/1795138374?refer_flag=1001030103_,#省公安厅出台15条交通管理服务措施，全力保障复工复产复学#为认真贯彻落实省委省政府关于恢复交通运输秩序工作部署，统筹疫情防控和恢复交通运输秩序，积极应对复工复产复学和高速公路免费通行带来的“大车流”“大客流”，山东省公安厅制定了全省恢复交通运输秩序确保道路安全畅通十五条工作措施，全面加强复工复产复学阶段道路交通安全管理。O省公安厅出台15条交通管理服务措施，全力保障复工复产复学 ,,,,,今天16:21,搜狗高速浏览器
啊么啊娜,https://weibo.com/5152206206?refer_flag=1001030103_,#韩国##航空公司回应80名韩国人到成都# 现在我们并没有全面胜利，正是歼灭战和有序复工复学、恢复经济的时候。对所有（不限于日韩意）从境外来国者，有必要实行条件限流，（以下是针对疫情较严重地区，非重点疫区国来人员可做简化和调整）1须始发地相关部门和机场签发无发热证明2航班需按我国制定的标准做防护措施，在机人员必须佩戴口罩等3归国同胞和境外人员无条件接受各地检测与隔离（14-20天非居家隔离）4须报告其之前的行动轨迹有无疫区接触史5有无发热史，有无自行服用退烧等药品6对自己的报告签责任书（新加坡不就起诉一起隐瞒案例），接受目的地政府一切防疫措施，拒不履行者，遣返或按制定的防疫条例进行处罚7隔离治疗费用和个别有困难人员按当地各政府对普通中国市民同等处理待遇 ,,, 3,7,今天16:08,iPhone客户端
安阳新闻网,https://weibo.com/2218706283?refer_flag=1001030103_,【让学生开学前准备30个口罩?权威回应来了！】微博网友，2月24日反映，市教育局下发通知，为了迎接复学，让初中和小学学生开学前准备30个口罩。因预约口罩困难，购买价格高，由于购买困难，家长希望指挥部协调由学校集体购买。疫情指挥部于2月24日回复：2月24日，市教育局疫情防控指挥部办公室通过微信工作群，要求各县(市、区)教育局、局直各学校进行自查，发现类似问题立即纠正。并明确指出，目前学校开学日期尚未确定，全市各级教育行政部门和各级各类学校不得给家长安排准备口罩、消毒液等有关防护物品，避免引起家长和社会的误解、焦虑。下一步教育系统将继续按照市疫情防控指挥部和省教育厅的统一部署，做好校园疫情防控和安全开学准备工作。 ,,,,1,今天15:53,搜狗高速浏览器
琅琊新闻网,https://weibo.com/1403842922?refer_flag=1001030103_,#临沂抗疫在行动# 【临沂汽车客运总站已做好复工复产准备 即将恢复运营】记者从临沂汽车客运总站获悉，在防控疫情的同时，全力做好复工复学运输工作，严格按照核定的班次、站点和线路售检票，严格执行“点对点”售票，目前已做好了旅客运输的各项准备，待批准后恢复运营。详情O临沂汽车客运总站已做好复工复产准备 即将恢复运营, 8, 8, 35,100,今天 15:51 转赞人数超过70,临沂超话
德州交警,https://weibo.com/2468566497?refer_flag=1001030103_,#疫情当前 警察不退##复工复产进行时# 【山东省公安厅出台15条交通管理服务措施，全力保障复工复产复学】, 1, 1,,2,今天15:41,360安全浏览器
成都高新,https://weibo.com/2055576275?refer_flag=1001030103_,#防控疫情 成都高新在行动# 第三批新经济科技赋能疫情防控应用场景城市机会清单发布：成都高新区面向社会提供547种疫情防控产品和服务针对大流量体温检测、消毒防护等场景需求，成都市从三批清单中开展供需对接，组织做好全市公立学校复学准备。其中，成都恩普生医疗科技有限公司的额温枪成功对接成都多所中小学，门框式红外热像仪等其他产品也受到学校欢迎。O网页链接 , 77, 77, 80,3,今天 15:40 转赞人数超过70,微博 weibo.com
财经新媒体,https://weibo.com/2660807713?refer_flag=1001030103_,【留学生复学受阻：泰国成最热门中转站，中转人数暴增237倍】@去哪儿网 数据显示，近一个月内，16-24岁学生群体经第三国中转前往澳大利亚的人数较去年同期增长97%。受到出入境政策的限制，政策较为宽松的泰国、马来西亚、日本成为热门中转地。,,, 4,6,今天15:28,专业版微博
新浪湖南,https://weibo.com/2311694415?refer_flag=1001030103_,#长沙延迟开学日期至3月2日后#【官宣！长沙3月2日不开学】根据湖南省教育厅要求，长沙市教育局下发通知，各中小学校开学时间需在3月2日后再次延迟，具体开学时间，将视疫情防控情况，经科学评估后确定。3 月 2 日 -3 月 8 日，高三、初三年级各高考、中考科目以及高二学考科目、初二生物、地理两科可以根据全省普适的教学进度开展知识梳理和专题复习。3 月 9 日起直至疫情结束正式复学前，全市各中小学校按照教学计划开展新学期教育教学，但应根据居家学习的特殊情况，适当控制教学进度。#湖南防控新型肺炎# （潇湘晨报） , 12, 12, 65,158,今天 15:25 转赞人数超过100,微博 weibo.com
泗县教体局,https://weibo.com/3253220883?refer_flag=1001030103_,#瓦坊中心校#【瓦坊中心校扎实做好线上学习及相关工作】疫情当前，延期开学已成事实，根据上级部门安排及要求，3月2号开始进行线上教学，接通知后，泗县瓦坊中心校立即行动，扎实做好线上学习及相关工作。中心校要求各校实行责任分工制和责任追究制，积极做好复学时的所有教育教学安排工作。各校第一时间安全的把相关教材发到学生手中，并做好登记工作，确保每一位学生都能够上课有教材，迅速排查核实没有线上学习条件的学生，立即找村干部就地解决，确保收视率百分之百，及时告诉家长线上教学时间安排表，告诉家长和学生在学习中，应该注意的事项确保学习效果最优化。各校将教师责任分工，明确教师在学生线上学习期间职责和任务，确保教师科任教师参与率百分之百，同时安排教师做好线上学习后的作业清单的辅导检查和订正工作，确保学习的有效化。各校继续明确疫情防控措施，做到防疫学习两不误，对县域外来师生实行十四日隔离服务工作，县域内教师出入学校及学生家中确保有健康证和出入证，做好校园消毒工作，两天一遍门窗桌凳墙壁食堂等所有设施设备必须消毒，做好外来人员排查上报跟踪及时掌握身体状况测量等工作。各学校立即行动，迅速安排，努力做好学生成长道路上的守护者，学生求知的助力者，确保学生线上学习的效果。#教体动态#（特邀主持：刘小玮） ,,,,,今天15:13,360安全浏览器
湖南教育电视台,https://weibo.com/2617970297?refer_flag=1001030103_,#长沙身边事##湖南身边事#【长沙开学时间再推迟，3月2日后继续开展网络教学】2月26日，，长沙市教育局下发通知，各中小学校开学时间需在3月2日后再次延迟，具体开学时间，将视疫情防控情况，经科学评估后确定。值得一提的是，在再次延迟开学期间，教学工作也有了变化——3月9日起直至疫情结束正式复学前，全市各中小学校按照教学计划开展新学期教育教学。这也意味着，从3月9日开始，各中小学的网络教学，将开始上新课。 L湖南教育电视台的微博视频 ,,, 8,9,今天15:11,HUAWEI Mate 10 Pro
西铁资讯,https://weibo.com/2108237403?refer_flag=1001030103_,#疫情防控交通动态# 新冠肺炎疫情拐点还没来临，分区分级精准防控我们不能掉以轻心！复工复学高铁错峰返程打一场科学阻击战，胜利终将属于我们！#日本北海道所有中小学停课# L中国交通的微博视频, 4, 4, 2,3,今天15:08,小米MIX 2 全面屏手机
焦作发布,https://weibo.com/5344250889?refer_flag=1001030103_,【事关所有人！焦作建立健康登记及社区报到制度！速看！】当前，随着我市复工复学返城人员增多，外防输入压力不断增大，为防止发生疫情传播，切实做好疫情防控工作。经研究决定，自2月26日0时起，在全市疫情防控期间建立全市居民和入焦人员健康登记及社区报到制度。现将有关事项通告如下：详情猛戳：O事关所有人！焦作建立健康登记及社区报到制度！速看！ ,,,,,今天15:02,微博 weibo.com
淄博法院在线,https://weibo.com/3909061653?refer_flag=1001030103_,#微提醒# 【速看！#山东电子健康通行卡# 申请全攻略】为做好新冠肺炎疫情防控工作，有序推动复工复学，日前，省委疫情处置工作领导小组办公室下发通知，决定依托电子健康卡开通线上办理复工复学人员电子健康通行卡业务。攻略速看>>L山东广播电视台的微博视频,,, 1,,今天15:00,微博 weibo.com
中国移动,https://weibo.com/2001627641?refer_flag=1001030103_,#5G科技战“疫”#“只要有人从大楼入口处经过，摄像头就会迅速捕捉并在电脑上显示体温，真的很方便。”医院值班人员说道。在宿州市第一人民医院大楼入口处，医务人员正在使用“5G红外热成像测温”系统测量进出人员的体温。中国移动用信息化手段为政府、企事业单位、中小企业、学校等复工、复产、复学保驾护航 , 9, 9, 12,14,今天 14:54 转赞人数超过10,微博 weibo.com
长春择校胖哥,https://weibo.com/6237414267?refer_flag=1001030103_,#钟南山 新冠肺炎疫情有望4月前结束# 全民加油呀！复工复产 复学指日可待了！27日，钟南山院士说“根据我们团队在传统模型基础上加上影响因素，国家强力干预和春节后的回程高峰消除后，预测高峰应该在2月中接近2月底。到了2月15日，数字果然下来了。我们更接近国外权威的预测值。我们有信心，四月底基本控制。” ,,,,1,今天14:44,HUAWEI P20
DAYTOY_有钱家的杏子,https://weibo.com/5165442493?refer_flag=1001030103_,今天14:18  来自 OPPO超视野全面屏R15,,,,1,今天14:18,OPPO超视野全面屏R15
凤凰卫视,https://weibo.com/1643971635?refer_flag=1001030103_,【全球疫情扩散录】2月18日为期40天的春运落下帷幕，受疫情影响，北京铁路局春节后的客运量同比下跌87.8%。随着返岗复学的浪潮逐渐来袭，防止功亏一篑成为防疫工作的重点。与此同时，日本的钻石公主号也解除封印，各国旅客接受检查后方可下船回家，但这些旅客是否会成为新的传染源？本以为只是中国的这场战斗已然逐渐演化成一场全人类共同的战“疫”。#抗击新冠肺炎# 敬请关注凤凰卫视中文台之《#风月同天——全球战疫进行时（3）#》。 L凤凰卫视的微博视频 , 4, 4, 9,28,今天 14:14 转赞人数超过20,微博 weibo.com
潍坊12345,https://weibo.com/6321330814?refer_flag=1001030103_,#潍坊全民总动员 坚决打赢疫情防控阻击战# 来电人反映：我想咨询如何办理复工复学健康通行卡？回复：山东省复工复学人员健康通行卡可由山东省卫生健康委网站（O网页链接）和“健康山东服务号”微信公众号下载，申请人自行申报个人健康相关信息，经社区（村）防控小组审核并加盖社区（村）公章后生效。电子健康卡可在“健康山东服务号”微信公众号和“爱山东APP”申请办理。签发后电子健康通行卡将根据核签情况呈现三种颜色之一，即红色、黄色、绿色。其中红色代表不满足出行条件，应向所在社区(村)或单位报告，必要时通报当地疫情防控部门；黄色代表需要信息进一步完善核实后通行(如测量体温等)，或者健康通行卡已过期、需重新申报；绿色代表可以直接通行。 ,,,,,今天14:04,微博 weibo.com
大河财立方,https://weibo.com/6365990425?refer_flag=1001030103_,"#河南在行动# 【郑州餐饮单位复工疫情防控操作规范来啦！这“十个一”要牢记】2月27日，记者从河南郑州市市场监管局获悉，为进一步规范餐饮单位疫情防控工作，指导复工餐饮单位科学供餐，该局发布了《关于复工复学期间,餐饮环节疫情防控工作注意事项》的“十个一”补充规定，要求各有关单位有针对性地加强食品安全监管，督促餐饮单位落实主体责任，维护人民群众身体健康，服务疫情防控大局。 O郑州餐饮单位复工疫情防控操作规范来啦！这“十个一”要牢记 ", 1, 1,,1,今天13:51,微博 weibo.com
郑州发布,https://weibo.com/2434139193?refer_flag=1001030103_,"【一个卡口，一分钟交易……餐饮行业防控标准提高，做到“十个一”】关于进一步规范餐饮单位疫情防控工作的补充规定 2月8日，我平台发布了郑州市市场监督管理局《关于复工复学期间,餐饮环节疫情防控工作注意事项》，指导各单位有针对性地加强食品安全监管，督促餐饮单位落实主体责任，维护人民群众身体健康，服务疫情防控大局。 O一个卡口，一分钟交易……餐饮行业防控标准提高，做到“十个一” ", 3, 3, 4,12,今天 13:38 转赞人数超过10,微博 weibo.com
touchSeven,https://weibo.com/2581909533?refer_flag=1001030103_,20200227，临毕前夕，啥啥前景都还没见影儿，今天是返院复学的deadline，去了之后还要继续隔离，该怎么解决衣食住行的问题呀？再说，村里的班车有点不太听话哦⊙∀⊙！,,,,1,今天13:34,OPPO R9
