no,comments
10,收到水杯了，首先说呢，颜值很高，办公室里用完全没有问题的。喜欢午后喝点茶水，提提神。直接用水杯泡会太浓，另外弄个泡水壶又太占地方，偶尔一次机会看到这个没有犹豫直接下单了。可以通过固液接触的时间，控制茶水的浓度，简直不要太棒了。毕竟是两个杯盖的设计，故障点多了，就看能不用用住了，期待。。。好评！
11,满意，质量看起来不错，用起来也方便，全五星，蹭了一泡3w普洱，刚好泡起来！
12,做工比较粗糙，有点味，拧紧了水凉后不容易打开太松了容易漏水，是单层玻璃
13,宝贝收到，用凉水和热水都试了试，不漏水。包装好，和介绍相符，一次满意的购物
14,这款杯子质量还是不错的，外观也是精美，设计得也很好，拆下来比较容易清洗，唯一有待提高的：有一头的盖子部分宁静后，盖子跟杯子之间有部分突出了，这是唯一美中不足的地方
15,杯子很好，里面放的开水，晃动也不漏，杯子不能碰到，很烫
16,第一次买这个牌子的杯子，还没用，设计很有特色，质感不错，容量合适，期待使用效果，双面盖子设计，只要不漏水就好
17,产品功能：喜欢 商品品质：很好 外观材质：漂亮
18,外观材质：很精致的杯子 商品品质：质量很好
19,好像有缝隙一看密封圈好厚，真的一点都不漏水，泡了特观音试试不错，洗干净以后跑红茶用，红茶不能泡死用这个正好，希望装茶叶的斗能更大点，我是个喜欢喝很脓茶的人，好评，客服真不错，一问就出来，就是取个快递跟偷情差不多好玩
20,物流速度因疫情原因还值得原谅，包装完好，试试还不漏水。
21,由于防疫管控物流受到影响，但是恢复物流后，立刻到手，速度出乎意料的快！！分离效果好，假如杯子再矮胖一些估计更好看
22,使用的感觉还是非常不错的。泡茶的方式也是非常到位的。 唯一的问题是，倒水到杯子的时候，杯口的设计不是最好，倒完以后会有水流出来。
23,这段时间情况特殊，好不容易才到手中，满意。
24,买个500毫升的，买了三个了，用着感觉还很好。
25,是我想要的杯子，出门带着，泡茶方便。
26,老爸可喜欢了，泡茶特别好，杯子不漏水，菊花茶还带一点保温，不烫手。
27,好喜欢这个杯子 白水分离 最近喜欢上喝茶 准备再买一个放公司 这样在哪都可以随时喝茶了
28,水杯收到了，但是包装很不好，送人的，有些遗憾。包装盒压坏了，杯子没坏还好。水杯满意，物流包装希望改进。
29,茶漏总是掉下来太怂了😭只能当普通杯子用了
30,杯子挺喜欢的
31,物流很快，质量很好，我很喜欢，这款就是我想要的。
32,此用户没有填写评论!
33,东西不错，美观大方，方便清洗。玻璃有点烫手。
34,喝茶一直不太相信这类用具，看来还是要跟进新的东西，很不错，非常好，太方便了
35,这个价确实是良心价，质量很不错，设计特别新颖，值得推荐。
36,杯子刚刚收到，物流很快，不到两天就收到了，功夫茶杯真心不错哈，我原本不爱喝茶，就是因为普通茶杯泡出来的茶水太苦，不好喝，平时烟抽的比较多，所以还是逼到自己喝，茶杯是双层的，非常厚实，倒入开水一点都不烫手 这个杯子可以根据自己的喜好调节茶水浓度，茶水都有点甘甜。
37,卖家包装很精致，全部用气垫包裹，宝贝质量也不错，用热水泡了几次，感觉还不错，浓淡自己掌握。饮水机烧的水倒进去都不会炸裂，很好。茶仓是不锈钢的，玻璃无色透明，很清晰的就能看到茶水浓度。总得来说，用起来还是有点格调。
38,做工不是特别精细
39,早上9点买的下午就发货了，第二天就收到，神速。冲着茶水分离买的。喝茶很方便，方便携带，结实耐用的样子，现在家里都是花间道的杯子，出个新款就买，我是你家的铁粉了，茶漏这次设计的挺大的，我买的小柑橘都可以放进去，玻璃体也是好厚实。耐热效果不错。
40,网上逛了很多家卖杯子的店铺都是拍了之后不发货要么没客服，还是这家店铺敬业👍👍👍。年初3买的，年初4就发货了。拿到货只用了3天。非常开心过年的时候还能用到新的茶杯，年前买的茶叶也终于有机会泡上了。杯子也是非常的漂亮，玻璃很通透，质感很好。看着就很结实。👍👍👍👍👍
41,这杯子一点都不漏水，密封性特别好的，本来怕漏水，买之前还让客服多送了几个皮圈，现在看来是我多虑了。不过也没事，先备着，杯子材质用的挺好的，很通透很有质感，杯盖还可以刻字，非常有调性。茶水分离，泡茶是非常的方便，出来的口味也很好，跟这个材质还有设计都是有关的吧。好。
42,非常好好用。放办公室里也方便
43,因为好！所以回购买四次！服务态度是全网最好的！
44,此用户没有填写评论!
45,很不错的杯子，值得拥有
46,水杯不错，特殊时期，店家发货依然很快，到手后试水不漏，不错，快递也给力，各方面全五星好评。
47,包装完好无损，试了一下，挺好用的。
48,杯子收到了，质量不错，便宜，特别是有品牌的，值得信赖，一直用的都是这种的茶水分离的花间道玻璃杯，去超市里买要用1百多块，在这里看到才几十块钱，还是正品，非常好。我家的所有杯子都是他们家买的。小到这个泡茶杯大到旅行壶，用出来的就是质量好。售后也负责。值得信赖👍👍
49,此用户没有填写评论!
50,我已经在花间道家买了好几个杯子了，花间道也是老牌子了，专业做杯子，对爱喝茶的人来说他就是惊喜，更实用更接地气，上下分区设计可以控制茶浓度，在办公室喝茶，不必再带一套便携的茶具。而且操作也简单，只需要一倒一正就可以轻松泡茶。浓淡我自己就可以调节，不会为了喝口淡茶被烫。
51,东东收到儿子已经开始用了，和卖家描述的一样做工精细，有一个缺点就是隔茶叶的网眼有点小，其他的都很不错，物有所值，以后还会继续关注的，好评，全五分！
52,为武汉加油！ 团结一心共同战疫， 我们一定胜利！ #心暖心等于世界##坚定希望中国加油#
53,杯子很满意，好评，虽然有点贵，但贵有贵的道理！
54,适合自己的就是最好的，这个就是我想要的！
55,这个杯子大点了，用着还不错
56,第二次购买了，非常好。。。
57,杯子都没有看到，已经被送人了，据说挺好的。
58,很有品味，很有品质，特别喜欢。
59,不错
60,产品功能：杯子很好用
61,给爸爸买的，说很不错
62,好用，又美观
63,收到货了，感觉还不错，就不知道可会漏水。用了在说
64,超级好的一款水杯，泡茶太给力了。
65,产品功能：好用
66,质量很好，价格实惠，很满意
67,产品功能：好
68,非常棒
69,很好用，再也不用吐茶叶梗子了
70,挺好，高端大气上档次
71,非常好的杯子完美！
72,宝贝很好，如果另一个盖子也能装滤网的话，就更加完美了。
73,很好！实用！
74,给爸爸买的 挺好的  看着挺高大上的
75,不漏水，很好用。
76,被子已收到质量挺好的，就是有点小了，应该买500的给好评
77,疫情期间送货速度也很快。质量很不错
78,可以 挺好的
79,东西很不错，很满意
80,不错更棒
81,泡茶不错
82,杯子很好
83,用上了，质量不错
84,不错，功能显著，满意
85,美观大方   高端上档次
86,特殊时期，速度到货，不错
87,此用户没有填写评论!
88,此用户没有填写评论!
89,设计确实好，好评
90,可以，已经第二次购买了，好用没得说
91,很高大上，服务态度很好(✪▽✪)
92,杯子相当好，一回来消毒完，赶紧泡杯菊花茶喝，真的很适合我！
93,很惊喜！杯子是黑色的，看起来很高档还好，这买的还真超值，玻璃清晰透明，泡出来的茶水一点都没渣，过滤的和功夫茶具一样干净，而且放茶叶的地方也容易清洗，拿水一冲就可以了，以前用的都是不带分离的经常要在那吐茶叶很不方便，现在就方便很多了可以慢慢品茶了。
94,看着不错，容量也不小
95,很不错
96,很好，非常满意。
97,有一个盛茶网打不开，我放冰箱里冻一下天能否打开。
98,还不错，凉水试试不漏水，一会用热水试试
99,质量很好
100,茶杯子今天才收到，物流太慢了，快递员态度很好。杯子还可以。
101,水杯非常好，用的不错，挺上档次的
102,疫情期间发货了，厉害了店家，点个赞，杯子很好用
103,非常实用 质量好 特别满意
104,漏水严重，买时需谨慎
105,非常好的杯子，好用不漏水
106,很好，不漏水，要是做的矮点粗点就好了。
107,杯子挺厚实的，双层玻璃防烫的。使用起来很顺手，不会漏水！很不错！
108,商品品质：不错，很方便
109,漏水，没有说的好，差评
110,杯子外观上质感比较的强，款式比较的独特，看起来也比较的高档，办公室用或者出去开会都不掉范，其次设计上来说很方便，双盖的，两头都可以打开，一倒一正就可以泡茶，茶水分离。杯子是无色透明玻璃，还挺厚实的。性价比很高。让男朋友拿着拍的他比较害羞，哈哈。
111,质量感觉一般般，用力拧瓶盖把手会晃动感觉会断掉了
112,很好，上次的杯子坏了，卖家什么也没说，又给发了个，谢谢老板，值得信赖赞誉
113,此用户没有填写评论!
114,不漏水，挺好的
115,茶水分离设计非常棒！一开始还有点犹豫，怕杯子会很笨重不好看，颜狗买杯子主要看颜值呀&hellip;&hellip;没想到拿到手非常漂亮！泡茶很好用！试了一下怎么晃都不会漏水！棒棒哒，物美价廉！以后再买个大号的！
116,挺好的，实用、方便。好评
117,这杯子是喝茶的理想工具，洗茶、泡茶方便简洁，特别是上下开启盖设计对于均匀多泡几杯茶真是方便科学，上下盖开启方式对刷杯清洁更是比传统杯子方便，快递也给力。带把手很方便，滤网也可以卸下来清晰，不漏水杯子也没有异味，质量很好。五星好评。
118,商品品质：品质很好很喜欢
119,用了几天时间了才来评价，买回来专门放在办公室里用的，平时就很喜欢喝茶，茶叶能过滤得很干净，杯子是真心的不错，一个杯子包含了功夫茶具的功能，杯盖上还有提手，携带方便，办公室，家里，旅游一个杯子就够了，外观简单大方又不失档次，就连价格也很实惠。
120,商品品质：品质不错
121,用了之后马上就来评价了我是，真心觉得不错，第一眼看到黑色的很经典，茶叶和茶水的分隔创新设计很实用，质量好拿到手里沉甸甸的，包装也很到位。个人觉得用的舒服习惯，而且也不漏水，价格也划算，功能也好，我觉得值了，好杯值得分享。
122,杯子用着我很喜欢，上下两个杯盖看起来还是蛮好看的，茶隔是304不锈钢的，收到样子也可爱。杯子收到，用温水清洗了一下，没有渗水的情况，没有异味。我把这个杯子放在在办公室真是别具一格，真是爱不释手，喜欢的朋友值得购买，质量没得说，我一家都用这个牌子的杯子。
123,此用户没有填写评论!
124,很棒，包装精致，打开没有一点异味。很Man的一款杯子，清洗泡茶都方便，物流也很快，这么冷的天，我打电话让快递员从单位改送到家里，小哥也很愉快地接受送上门了，很感谢！原来的杯子，茶隔很不方便，洗杯子的时候，茶叶都沾在杯子壁上，很讨厌。现在方便了，直接倒掉就可以！推荐款哦！
125,还不错
126,开始不懂用，经实用后，觉得很好，不漏水，但不知耐用否，由于不细看将装杯子的盒扔了，也不知是否有备用胶圈。总的说好评。
127,以前有买过类似的泡茶杯，挺好使的，但是前段时间不小心给摔碎了，到网上搜到了花间道的泡茶杯，琢磨了半天才下单的，收到后杯子属实有牌面，杯子没有异味，关键是放茶叶的地方是不锈钢的，用起来放心，杯身是玻璃的，分离的那个部位滤网都能拆下来，清洗很方便，一冲就干净。好。
128,收到，好评，发图为证
129,用了之后来做下评价：首先杯子的容量可以，太大杯子显的有点蠢，太小喝两口就没了。其次整个杯子能与水接触的地方都是玻璃的，用起来健康，我是从来不敢用有塑料体的杯子。再者杯子的隔绝茶和水的设计，是能让茶叶多泡很久，和功夫茶的原理是一样的。 &nbsp;
130,挺好的，可以控制茶汤的浓度了，做工不错，不漏水，就看能否经久耐用了。
131,宝贝收到了，用了一段时间才来评价的，很好用，推荐一下可以放心购买！点赞！
132,杯子密封性能很好！老公很喜欢
133,这个杯子给人感觉就很大气，特别适合办公人士，两层的盖子都是可以打开的，很方便的，滤网可以旋转的，很简单的设计，但是却很贴心，做到了茶水分离的，很棒的，没有异味，热水冲洗下就可以使用了，密封性也是非常好的，真的很高档的杯子
134,把手易碎，用三次把手就掉了
135,最开始就是冲着杯子的款式买的，拿到手后跟图片上的一模一样，这玩意关键是新奇，放在办公桌上很亮眼，没事的时候还能泡泡功夫茶，陶冶下情操，哈哈。设计很好，两个盖子都能使用都能打开，泡茶喝水都很方便。用了这个杯子逼格瞬间提升了好大一截。
136,杯子手感还蛮好的，在办公室泡茶太方便了，质量也非常好，做工精细厚实，杯口喝水没有什么不适的，也不见漏水之类的，装了热水都没有事，隔热也不错，盖的很紧，不会漏水，还很结实，容量够用，刚买来也没有异味。总的来说这是一次很满意的购物。
137,包装很好，杯子不漏水，质量也好。
138,挺好，旅游带出去用
139,这么说吧，滴水不漏！做工不错，不锈钢看着就比较精致，杯盖里的胶垫是可以取下来洗的，也没有臭味，如果非要吹毛求疵，那就是杯子还是有点不隔热，不过不影响，因为有把子啊！这么说吧，非常值得购买！哦，对了，包装不错，我外面盒子都烂了，但是里面有一层皮泡的包装，再里面才是杯子的盒子！真心不错👍放心买！
140,用料感觉挺扎实的，只是两边的盖子都能拧下来的设计真的让人吐槽，稍微没拧紧，就漏的一身都是水。烫惨了，没看清设计。
141,很好用。方便。不漏水。
142,玻璃杯玻璃很清亮，杯盖材质摸着很舒服，也非常大气好看。滤网是不锈钢的，盖子内部接触水的也是不锈钢的，胶圈是软软的那种pp材质，质量都很好啦，完全不漏水的。手柄也做工非常精细，很严实，两头都可以打开，刷洗都是非常好清理的。拿手上完全不用担心会漏水的。
143,不错很好不漏水挺有质感的 很满意 下次再来
144,茶水完美分离，两头都可以拧开，不漏水，不错。就是价格贵了点
145,包装严实，完好无损
146,此用户没有填写评论!
147,美中不足是瓶盖有点划花。
148,对商家的服务非常满意，刚开始收到货很兴奋，但发现滤网取不下来，联系商家后，立马又重新寄了一个过来。给商家点个赞。
149,看着质量很棒，款式不错，只是感觉偏小点。
150,用心的包装，到手使用了一段时间确实好用，以前用某光的也有过滤网可是没这个好用，一点都不会漏，值得推荐！
151,比我想的小了点，指泡茶的那个漏 网罩。
152,挺高大尚的
153,那到杯子后，试了一下挺好的上下都不漏水，是一款挺不错杯子。
154,杯子很厚实，容量还是比较合理的，看宝贝介绍杯体容量是400ml，喝了感觉也是够的，反正水多了长时间喝不完会凉，拿起来也挺有质感的。泡茶方面还是很方便的，茶叶放在里面的仓里，然后再倒入开水，然后翻转杯身就可以开始泡茶了呢，看茶水的颜色变化判断浓度，气密性方面目前没有漏水现象。
155,摇摇还有点漏水，勉强好用吧
156,包装很好，东西不错
157,用了很久才来评的，不漏水很好用
158,杯子蛮好的，就是有点贵。
159,此用户没有填写评论!
160,此用户没有填写评论!
161,杯子到了刚买的时候就担心漏水这个问题，现在用了两天没有出现漏水的问题啊，客服说杯子有质量问题免邮费包退换，还有质保，杯子用着也没毛病，泡茶很方便泡的茶叶水不浓不淡的味道很好，外光看起来也很高档，质感很强，绝对的物有所值。
162,此用户没有填写评论!
163,还挺实用的不错！
164,很好看的杯子，买了个白色的，杯子的颜色无色差跟图片上的一样，非常的漂亮很喜欢。而且茶水分离才不会浪费茶叶，一倒一正就可以完成茶水分离。杯子2头盖的设计非常方便，不管哪头都可以开盖喝水。设计很人性化。点赞。再买两个放家里用
165,这个杯子还是很不错的。昨晚客服还特意做了个回访很上心。杯子整体上满意，毕竟这个价位还是物有所值的。特别是发货速度也还是很快的，当天拍了当天就发货了，隔一天就收到货了。杯子的做工挺细致的，收到也没有瑕疵。东西好有档次。客服态度非常好！
166,很好用👍
167,给我爸买的，茶已经泡上了，非常喜欢，质量还不错
168,很好，特殊时期物流慢点能理解！
169,亲测不漏水，杯子拿起来有分量，很好。
170,真的很不错，喜欢
171,杯子质量非常好，双盖使用方便，全五分，下次还会光顾
172,因为好！所以二次回购！
173,产品功能：齐全 商品品质：品质杠杠滴 外观材质：大小适中，看着非常有质感
174,质量不错，价钱便宜，好评
175,发货快，包装好，价钱便宜，好评
176,以前买过觉得不错。这次是回购。老公公司用。大小合适
177,收到货马上用杯子泡了杯茶试了试杯子，挺好的一杯子。先说说形态吧，盖子是纯黑色，没有色差，玻璃透明度非常高，放茶叶的储茶室是不锈钢的也是很亮很干净的，胶圈没有异味，很柔软和杯口的贴合度也是很完美的，相当漂亮，装水也是很大的，500毫升，容量刚好适合我。
178,第二次购买了，很好，双盖设计，方便清洁，如果茶漏能再大点就更完美了&hellip;
179,发货很快，质量很好，价钱便宜，好评
180,质量很好，发货很快，价钱便宜，好评
181,宝贝挺满意，实用，漏网非常细，茶叶过滤的非常干净，全五星好评，有需要还会来，店家生意兴隆。
182,非常满意
183,产品功能：泡茶的好工具。 外观材质：材质很好，外观也很精致。
184,好用，質料不錯，就算倒轉也不會漏水
185,此用户没有填写评论!
186,东西看着外观大气 用起来也很有现代感 手感也很好 值得入手
187,太牛了，没想到过节也能收到，杯子杠杠好👍
188,建议店家推介这款茶杯的宣传重点要从&ldquo;饮茶无需吐茶&rdquo;改为：悟茶道饮好茶。为何？因为市面上各种材质款式的茶杯好多都有虑茶网，本就喝不到茶叶，再说，嚼茶叶的习惯有利牙龈。根本要点是：无论普洱、亦或绿茶，都不能泡太长时间，冲泡时间短的不超过十秒，上班族一杯茶上班到下班，跟大碗茶没区别，谈不上顺应茶叶特点饮用最佳茶汤。店家的杯子，妙就妙在相当于便携式功夫茶具，且冲泡、饮用一体化。我的建议是有专利的哦，店家要采用，记得送只冬夏两用的大号杯子哦。马先生说：功夫再高，也怕菜刀。专业文宣人员想不出在下的好主意。重要的事放在前面说，再来说收到的杯子，盖子和杯底都按要求印上了店家的样品字样：禅茶一味、挑战。好评全五分。介绍升级款被子的杯把功用时，应该注明：在拧紧上下杯盖时粗大的杯把更得力。淘宝这些年，第一次写这许多话。
189,这款办公杯感觉比图片的修身些，但质量很好，茶水分离太好了，不漏水，送朋友的，喜欢啦！
190,很好，卖家给杯子的保护包装做的很到位
191,产品不错，不会漏水，没有异味，滤网不平，客服重新发了个，服务好！
192,功能不错，期待用的久一些
193,外观好看，握着舒服，冬天使用，可以捂手。上下两个盖子，拧起来感觉不怎么顺畅，可能是新的，用过一阵子会好吧！
194,非常满意，茶的浓度完全由自己决定，大小适中，玻璃厚实，清洗后没有异味，很喜欢。
195,此用户没有填写评论!
196,好看好用很好
197,今天杯子收到了，很喜欢，买了不后悔，设计也很独特，双头杯盖！几十块的杯子，真的是物美价廉！而且杯子的话真的是超级好看的！颜色纯正！和别人就显得与众不同，白色的很漂亮，里面还有一个304不锈钢茶隔！有了这个茶隔再也不会喝茶喝到茶叶了。泡茶喝水都是非常的方便！
198,这杯子一点都不漏水，密封性特别好的，本来怕漏水，买之前还让客服多送了几个皮圈，现在看来是我多虑了。不过也没事，先备着，杯子材质用的挺好的，很通透很有质感，杯盖还可以刻字，非常有调性。茶水分离，泡茶是非常的方便，出来的口味也很好，跟这个材质还有设计都是有关的吧。好。
199,没有觉得像广告一样好；哎
200,杯子不错，就是有点小贵
201,此用户没有填写评论!
202,对比了好几款最后选择的这个。大小刚好，携带方便。喜欢这样的。在办公室，家里，户外用着都很方便。自从有了这个杯子以后，都爱上喝茶了，费钱啊，一下子买了好多茶叶，就是为了搭配这个杯子，哈哈，以前没发现我这么爱喝茶的，玻璃就是好，可以直接看到茶汤的颜色，还可以自由的调控茶水的浓浅。
203,极其不满！！ 快递巨慢我就不说了，拿到杯子少一颗螺丝，杯把手直接掉了，倒上水发现漏水！破玩意儿还不如废品站的易拉罐呢，起码那个不漏水，我真服了。
204,很好用，希望下次再来。
205,看着还行，以后用了在说。
206,杯子质量很好，刚到手我就装满了热水摇晃，完全不漏水，紧接着又拿冷水冲杯子也没有事，不愧销量这么高。
207,宝贝满意，质量不错，包装也很好
208,用了几天了，很好用，一天一泡茶。
209,方便好用，物美价廉
210,发货很快，第二天就收到，神速，跟菜鸟有的一拼，冲着茶水分离买的。喝茶很方便，方便携带，结实耐用的样子，茶漏这次设计的挺大的，我买的小柑橘都可以放进去，玻璃体也是好厚实，有次不小心被同事带倒，摔了一下，但是没有碎，但是玻璃毕竟是玻璃，我以后用还是要小心，满意满意。
211,买茶杯时对比了好几家才决定在选择他们家的，杯子的材质是婴儿食用级的材质没有异味而且杯体是透明玻璃的，毕竟杯子是每天喝水必备的，使用安全和健康才是最重要的，杯子收到后用热水烫了清理了一下，的确是没有其他的异味，现在每天喝茶都离不开这款杯子的，感觉天凉了还能倒杯热水拿在手里暖手，哈哈
212,此用户没有填写评论!
213,有一点点漏水哎
214,好帅气的杯子啊，起初还不知道茶水分离是什么意思，现在知道了，真的很好用的，茶叶不用一直在水里面泡着，茶叶就太浓了，我喜欢那种淡淡的茶叶，有茶色了就可以将杯子翻转过来，这样茶叶就和水分离开了，密封性也是很好的，胶圈韧性也很好，不易脱落，很好的设计
215,非常好 喜欢
216,一如既往的好
217,与描述相符，玻璃厚实，胶边没有漏水￼
218,平时办公室都是用的不锈钢保温杯泡茶喝，时间久了总感觉喝的时候茶味里面带点铁锈味儿。就让老婆给我买了个玻璃杯，用着感觉还不错，要把不锈钢的杯子淘汰了。水跟茶叶是可以分开的，等于就是想喝得浓一点就泡的久一点，想喝清茶就泡短一点，真的照顾了我们喜欢喝茶的茶友。
219,这是第三次购买了
220,杯子收到马上就用了，非常好用，手感非常好，在办公室泡茶太方便了，质量非常好，做工精致厚实，杯口喝水没有什么不适的，也不见有漏水之类的。这次购物非常满意，客服态度好。质量一级棒，装了热水都没有事，隔热也不错，盖的很紧，不会漏水，还很结实，容量够用，刚买来也没有异味。
221,物流给力，前些天买的，今天上午就收到了，很满意。下面说一下我的感受，给大家参考一下。收到货就马上试用，用热水烫一下，放茶，再放热水，把茶杯倒过来慢慢等着，大概过了一分钟茶水颜色有点变色了，就倒了点茶水喝，有一股清香而且不苦涩，跟以前不一样的是不用吐茶叶了，这茶水分离的&nbsp;设计非常不错，深合我意。
222,太好了，商家👍 滴水不漏，美观大方。东北现在非常的寒冷，收到后立即用开水烫杯，杯子完好无损，祝商家鼠年发发发。
223,此用户没有填写评论!
224,整体来说是不错的，超出了我的预期。买的第二个了，第一个被人抢走了，还没来得及拍照。过滤效果很好，双层的隔热，双开的可以把茶分离，下杯再泡。唯一一点小瑕疵就是密封圈看着质量不咋地，但是不漏水的哈！希望有升级产品。值得推荐！
225,杯子不错，玻璃胆，不锈钢滤网，不漏水，喝茶特别方便。
226,这几年已经在他家买了3个杯子了，花间道也是老牌子了，专业做杯子，对比爱喝茶的人来说他就是惊喜，更实用更接地气，上下分区设计可以控制茶浓度，在办公室喝茶，不必再带一套便携的茶具。前几天出差的时候，领导看到我这个杯子还是比较喜欢的，毕竟这个杯子颜值高。
227,物流是真快
228,很漂亮哦，好评！
229,此用户没有填写评论!
230,杯子拧紧了，一点都不漏水，密封性特别好的，本来怕漏水，买之前还让客服多送了1个皮圈，现在看来是我多虑了，不过也没事，先备着，杯子材质用的挺好的，很通透很有质感，杯盖还可以刻字，非常有调性，茶水分离，泡茶是非常的方便，出来的口味也很好。以后买杯子就买这家！
231,此用户没有填写评论!
232,给老公买的杯子，老公说很好用，高大尚，五星好评
233,说实话真心不怎么样，手劲不大拧不紧就会漏水，并且倒上热水以后要像拧开盖只能另一手握着把手，把手容易坏
234,杯子很好，挺精致的。就是快递可真不咋地，拿到杯子包装都坏了。好像要打开的样子，还好里面有气垫没有坏。
235,非常喜欢，很好用。不漏水，看上去也蛮结实的
236,杯子设计的很人性化，对于我这个喜欢泡枸杞，柠檬，红茶的人来说真的很方便！装好后倒入水，掉过来泡个1-2分钟就可以喝了，能保持柠檬的鲜嫩口感。还有就是客服服务特别周到，有点小毛病，和客服说后，立马就给解决了，不像有些店家那样各种推脱，在此给客服点赞。
237,很好啊！家人非常喜欢！
238,杯子不错，高端大气上档次低调，低调奢华有内涵，拿到办公室，同事们都惊呆了，纷纷找我要了链接，外观设计新颖。不锈钢滤网非常精细一点茶叶都不会漏，
239,此用户没有填写评论!
240,东西很好很喜欢，就是估计快过年了，东西送的很慢，还有把柄希望以后改回玻璃或者别的什么的这样不容易坏
241,好喜欢这个杯子，好漂亮呀。带滤网很方便泡茶。谢谢客服雯雯的帮助，我开始一直扭不开滤网，最后终于弄好了
242,设计很好，质量也好，达到了买它的预期。
243,包装完好无损  已试用  泡茶杯美观好用。
244,东西收到啦，这车子特别喜欢，拿在手里都不愿意放下，杯子不大，一手刚好握住，圆圆的很可爱
245,整体还可以，杯子挺坠手的，个人一点小要求这个滤子用着有点不方便(举例：营养壶煮的茶，往这个杯子里面倒不方便过滤)平常泡个茶叶喝个水当然是没问题的，好评
246,宝贝很好，非常适合办公室使用。
247,非常不错，很方便。质量也好。
248,此用户没有填写评论!
249,此用户没有填写评论!
250,精密茶漏，茶水分离，非常好，超赞👍
251,此用户没有填写评论!
252,挺好的，不错
253,很好的茶杯
254,非常满意
255,物有所值
256,此用户没有填写评论!
257,挺漂亮的多功能的杯子！
258,给老爸买的。说还不错
259,售后做得很好，收到之后倒入开水裂了，售后MM二话没说立马表示重新补发，三天后快递打电话说包裹里的杯子碎了，联系卖家，也是爽快说重新发，，这样卖家必须五星评价！
260,杯子质量很好，用起来很舒服，满意
261,很不错，老公很喜欢，泡茶很方便。
262,很漂亮，质量很好哦！
263,产品功能：满意 商品品质：优良 外观材质：好！我该选择黑色的！
264,很好，放了一晚上没漏水
265,宝贝收到了还没有用看着挺好的包裹严实用过以后再来追评
