no,comments
100,物流很快，耳机线很长，音质挺清晰的，满意的一次购物
101,耳机很好   颜色也好看   质量也可以  值得购买
102,这款耳机非常的高大上 音质也非常好 没有噪音
103,很不错的耳机，音质也好，配戴舒服，非常棒！
104,&lrm;隔音效果超级好，&lrm;耳机&lrm;的样子也&lrm;很漂&lrm;亮，&lrm;整体结&lrm;构很&lrm;好，音质也很好，&lrm;很清&lrm;晰，&lrm;够大声，&lrm;音质也是非常&lrm;的清晰，&lrm;颜值也&lrm;好看，配色&lrm;时尚。已经用上了 音质很棒 并且客服小姐姐（或者是小哥哥）态度很好 积极帮我解决问题
105,这几天的物流，只要能到就值得五星！😂这四五天到很感人。 这个活动款可以接听电话只是不能调音，价格很实惠。外形也挺好看的，就是插头和右耳塞部分有点点那种&hellip;就是类似衣服有线头那种，小瑕疵没大毛病。 质量嘛，等用一段时间看看啦哈哈😄
106,音质很清楚，感觉性价比非常高，很值得购买，啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
107,耳机收到了，质量不错，价格便宜，快递很快包装好看。
108,佩戴感受：很清晰 很棒  声音效果：很好啊  外观材质：好看！ 一次性买了俩条 用着都没有问题 下次还会继续在这里买的！而且快的特别快 昨天发货今天就到了 呼呼 表白店主
109,物美价廉，音质很好，外观小巧精致，值得购买
110,今天刚刚收到所以刚评价我和老公的手机都可以用挺好的
111,包装的挺严实的，耳机质量还可以，半入耳也挺稳的
112,不错，挺好的听歌也还行，主要是价格便宜。算得上是物美价廉了。
113,之前的耳机快坏了  就买了一个 质量挺好的 喜欢  细节满满 物流也超快
114,收到耳机了，两个，真的很便宜，看着高大上
115,相当给力，音质非常清晰，牛牛牛
116,音质非常棒，价廉物美已经N多次在这里购买耳机了。
117,耳机真的很棒棒啦，摸起来超级有质感，宝贝非常优秀，拿回来之后特别的满意，比图片上的还要好看，性价比特别高要赞一个！耳机造型设计很有特点，触感舒适，质感高级，是我想要的，戴着也非常好看，关键是耳机听歌效果很赞，
118,耳机质量不错，包装也很仔细，还会购买的～
119,此用户没有填写评论!
120,刚拿到手 听着音质是不错的 超喜欢 下次还会购买
121,佩戴感受：音质还不错 声音效果：效果很棒 外观材质：还不错 特色功能：话筒不在旁边，有点失望
122,非常时期还能收到货，惊喜！宝贝挺好！价格便宜！
123,音质非常好，这是第二次复购了，这次给妈妈买的
124,声音效果：声音清晰，价格也合适，和原装差不多，挺好的
125,很好用，已经回购好几次啦，听歌很清晰，通话质量也好
126,回购啦！买过很多耳机 还是这家里的好用 真的蛮不错的 可以入手种草！！！客服宝贝的服务态度也超级棒耶！
127,耳机音质很好 包装也不错 可以入手！
128,买了两次，一个可以用很久，耳机外观很漂亮，质量也很好，很满意
129,耳机不错哇，包装挺好的。就是买来忘了评价🌚总之耳机不错的，值得购买。
130,没想到这么便宜的耳机质量这么好，还会再来光顾的哟
131,宝贝收到了，回购多次了，音质特别正好评
132,原装耳机线破了，不敢用，在这买的，试用了一下，挺好的，质量也不错，满意。
133,耳机音质不错，音量也大，，塞在耳朵里比较舒服
134,特别好用，没有杂音，下次会回购！！
135,很酷，大人孩子都可以用，棒棒哒，继续再买两个
136,买了几次，性价比高，送货也快，一条十多块，声音效果也还好，主要是我女儿费耳机，总是扯坏摔坏，所以不能给她买贵的，大概在你家买了六条还是八条耳机了，哈哈哈。
137,快递顺丰包邮，很快的。还有非常合适我。非常划算的。
138,感觉挺高端，音效也不错
139,质量超级好，音质很稳，本人木耳朵听不出高端的差别但是听起来和两三百没有太大区别就对了。疫情紧张，居然还发顺丰！！！很好啊啊啊啊
140,耳机收到了  价格很便宜  但是质量非常好  物美价廉  还会回购
141,第二次买了，这次多买一条，更实惠。质量也挺不错的
142,疫情当前快递很给力，耳机到了马上试听了一下，不错不错，音质很好，带着也舒服，值得购买
143,包装好，而且质量比实体店的都好！我这是第二天！
144,便宜好用捏！音质也还可以，优秀
145,非常好，特别好，音效可以，希望能坚持很久
146,音质很棒，特意买了两个，和对象一人一个
147,快递非常的快。物美价廉。。下次有需要的朋友会主动推荐。谢谢快递小哥，冒着生命的危险工作，辛苦了
148,很便宜的东西，疫情期间买还发的顺丰快递，东西到了音色也不错。
149,很好，还有盒子，方便线也足够长，大品牌就是放心 还买一送一 佩戴感受：舒适 声音效果：流畅，很好 外观材质：美观大方 特色功能：有盒子
150,佩戴感受：挺好的 声音效果：音质可以 外观材质：还行 特色功能：不知道
151,耳机不错，音质也挺好的，电脑一个手机一个，是通用的
152,使用了一个小时左右，音质还不错，录音也还可以！
153,外观好看，还有一个盒子专门装，实惠，好用，
154,拆开用了下 调节音量键也很好正常使用也很好
155,这个耳机很实惠，这么优惠的价格可以买到这么好的耳机，真划算 商评 性价比很高，音质也很好  满足得了我。好！
156,买来用在苹果手机上，跟原装差不多的，好用。
157,现在感觉挺好的，对得起这个价位，声音很大，对我有帮助[鼓掌]今日份的小惊喜，长沙：0新增！第一次这么喜欢0这个数字，期待全省、全国各个地区这样的数字早日到来。🙏🙏🙏
158,耳机非常的好，音质好，买了两次了，质量好又便宜！买它！！！
159,耳机线质量不错 音质效果挺大的 没有杂音 选项里有一黑一白的选择就更棒了 喜欢 买它就对
160,佩戴感受：还不错 声音效果：音质还可以， 外观材质：不错 特色功能：我主要是拿来玩游戏的还没试
161,声音立体，包装美观，物美价廉！不错
162,耳机很好看，音质也还可以，我又有新耳机啦！
163,音质挺好的，非常满意呀！希望用得久一点。
164,给爷爷买的，特别喜欢，不贵适合哄老人玩，以后还会关顾
165,佩戴感受：戴着舒服，音质也好
166,耳机很好用，我很喜欢，价格也比较公道，先用用看，下回会回购
167,性价比很高了 不错建议购买
168,戴了一天了，音质很好，也很满意，在这个疫情中物流也很快就到了，太赞了👍
169,第二次回购率，用的音质什么的都还可以发货速度也特别快
170,声音效果：喜欢喜欢喜欢，重要的事说三遍！！！真的是完完全全的大爱呀，已经是第二次购买这家的东西了，每一次收到货都觉得很惊讶这么低价可以买到这么好的质量。反正我决定做老熟客了，下次有需要自然过来买呢~ 佩戴感受：非常好听，这么低价音质这么高！
171,试了一下，感觉音质很好，没什么杂音！感觉质量不错！还在犹豫的朋友可以放心购买了！很喜欢这个调节开关
172,此用户没有填写评论!
173,便宜便宜便宜，好使好使好使 重要的事情说三遍
174,耳机音质特别好，简直是有便宜又好货，谢谢良心卖家
175,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好还便宜买它
176,收到实物很好，运输很快，虽说现在是疫情非常时期，也不影响运输，真的正常时间到货，我很满意，买的是升级版，感觉音质也不错，可以剁手的，姐妹们
177,佩戴感受：挺舒服的，比入耳式的舒服很多，也不容易掉。很贴合。 声音效果：没想到这么便宜的音效跟我之前几百的差不多，太牛掰了。
178,耳机收到了，超级好用，声音也够大，很喜欢。
179,耳机很好呀 包装和外形都很好
180,物流很快，耳机收到后立即打开试听，品质超级好，而且没有一点损坏，下次肯定还会光顾的
181,包装完好，打开后样子跟苹果原装耳机长得差不多像，音质什么的没太大要求的都可以接受，不知道能用多久，挺好的。
182,物流很快，而且包装很严实，质量也很好，音效也很好，推荐购买
183,很信赖这家店，价格实惠，耳机质量好，真的值得推荐。
184,用了一段时间了，耳机效果不错，很好用。
185,音质挺好的，包装也很精美，价格优惠，物超所值了，真心不错😊
186,啊啊啊啊啊啊啊啊啊啊啊啊啊耳机终于到了，听歌有双耳效应真的太幸福了！
187,不错不错  疫情期间直接顺丰快递 让我挺惊喜的！耳机也不错 价格没得说！
188,第二次购买了，效果特别好，点赞
189,非常音质也非常好，卖家服务态度也非常好喜欢的小伙伴赶快下单
190,几年下来都是用这家的耳机，性价比高，优质实惠，无限回购。
191,宝贝收到了，非常不错音质好下次还要来这家店买
192,这么便宜的东西还发顺丰太给力了吧，刚拿到试了下好痛呀
193,包装的很仔细，试了一下音质不错。也不贵
194,耳机非常好用，音效很好，按键也能和手机连接，好评。
195,音质非常好，很满意，值得拥有
196,宝贝真的很好，音效不错，值得购买，点赞点赞
197,这个升级版蛮花里胡哨的，音质也可以，耐用程度有待时间打磨，不过一般使用的话购入普通版就好，也很实用。
198,第二次购买了，包装非常好，每个都是独立包装，音质也很不错，耳机的质感也非常不错哦。赞！
199,宝贝很好，音质不错，包装也好看，也很柔软！
200,妈耶比想象中好多了！！！音质惊喜 快递超快啊嗖一下飞来的叭
201,宝贝很不错呀，音质不错价格美丽还顺丰满意哦
202,很喜欢，已经购了几次了，质量很好，音质也不错！
203,这款耳机是我最近买的最好的一款，音质没的说，很好很好
204,音质特别好   耳机线也很长  很喜欢
205,性价比超高的一款耳机非常不错
206,耳机收到了跟卖家描述一致，音质也可以，性价比高，值得购买！
207,专业专注，品质保证👍，这是商家追逐的梦想！！发货顺风，包装严谨，性价比很高。给予肯定并继续关注，会常来常往。
208,声音好，外观好，音质好，很喜欢。
209,佩戴感受：刚开始有些硬 声音效果：很好 外观材质：线比一般的耳机粗一些 快递是顺丰的，非常快，第二天就收到了👍
210,非常好看 也很好用 总体来说非常好
211,第二次回够了，之前那条丢了，用了大概两年吧，真的，这家性比价超级高，颜值高，以后如果有需要的话还会回购，送朋友，送父母也是不错的选择
212,买了两个，特别棒！舒适度很好！
213,佩戴感受：佩戴效果非常的舒适 声音效果：声音效果也是够入耳 整体来说真的非常的实惠 性价比真的挺高的 值得购买 外观材质：材质非常地结实 不会容易的损坏 特色功能：调节音量功能更加的方便快捷
214,耳机质量没话说，已经是第二次购买了！
215,很合适，没有噪音值得推荐
216,刚收到货就拆开试听了，效果不错，很满意。有喜欢的抓紧下单了。
217,整体还不错哦，物美价廉，这么便宜的耳机能有这样不错的呢，这个时候物流顺丰也很快，赞
218,声音效果：声音效果非常的好，好评.下次再来。
219,音质可以非常好线也够长
220,音质很好!戴上很舒服!疫情期间发货也挺快的，很赞!
221,耳机以收到了，音质很好，接听电话很清楚，很满意的一次购物，下次还会光临
222,非常好，好评。我是二次回购了哦，好不错，一个耳机够我用半年。
223,音质还是很不错的，买了两条，好用！
224,这个耳机我已经第二次购买了，价格便宜，质量超赞，音质也不错，因为上一条被我弄坏了，又买了一条这个音质，真的是特别好，不用担心音质问题。物流速度也超快。
225,打开一个用了用很好，声音效果也不错，值得购买
226,宝贝收到了，手感不错！音质也很好，我很喜欢！
227,质量挺好的，价格也实惠。希望能多用久点！赞👍
228,耳机非常好，客服态度很好。以后还会继续在这里买。耳机与图片一样。
229,宝贝刚刚收到，质量绝对杠杠滴，非常时期发货也很快，声音好听，巴适得板！
230,东西收到了，快递出乎我的意料，好快就到了。耳机包装子很好😍
231,老客户了，质量非常好，这款耳机很清晰。
232,此用户没有填写评论!
233,音质很不错，耳机也很好看 爱了爱了
234,今天刚拿到了宝贝，经过11天，也是因为疫情的原因吧，理解理解，宝贝试过音效还不错👍，良心卖家，价格公道，下回有机会再光顾！
235,发货很快，耳机音质清晰，带着也很舒服
236,已经第二次回购啦👍音质不错，值得回购哟👍
237,耳机到了！这已经是我买的第n副了！！每次坏了就来买！一次也能用很久！我用耳机总是很快就坏了！但是每次在这里买就能用很久！！所以无限回购！！而且现在特殊时期这么便宜的耳机还发顺丰很快就到了！真的很谢谢店家！希望工作人员注意安全做好防护措施平平安安的❤❤❤要买耳机的宝贝也不要再犹豫了！！买他！！
238,可顺风很快，音质也挺清楚的。在上网课前送到了。
239,第2次买了，耳机一如既往的棒，这个价格可以说没有比这个音质更好的了，推荐给朋友买也说非常好。
240,物有所值 这价钱听个响就行
241,买了一对，戴在耳朵里面很舒服，音效贼棒！特别是玩吃鸡的时候，听声辨位特别准！甚至连耳机线摸着都特别舒服，墙裂推荐入手！
242,佩戴感受：好用 声音效果：这个价格非常好 外观材质：质量好 特色功能：通用
243,耳机刚刚收到，买了两副挺好的，音质还挺不错，不知道以后怎么样，如果可以用很久的话下次还来这家。店铺就先收藏着
244,不错给老人用的，真心好！推荐推荐
245,每次买耳机都在她们家买。客服特别好。有问题。她会耐心解答。我真的很爱这家店。买它！
246,挺好的，音质也挺好，很划算
247,顺丰快递，很不错了，耳机音质还行
248,佩戴感受：挺好 声音效果：一般 外观材质：ok 特色功能：还行
249,佩戴感受：很好 声音效果：戴上打游戏还不错 外观材质：和图片一样，个人比较喜欢
250,买了两副，很好用这个价格超赚了
251,佩戴感受：第二次买了，没有杂音。这个价格还是挺不错的
252,佩戴感受：很好  声音效果：很好 外观材质：非常不错 特色功能：调音，换曲都挺顺畅的
253,这个价能买到这么好的耳机，值......
254,挺好的，包装很用心，音质也很好，值得购买
255,佩戴感受：配佩戴感觉挺舒服的。 声音效果：音质特别好。 外观材质：外观材质挺好看的。
256,买一送一很划算，质量挺好的
257,刚试过效果特别好，颜色很喜欢款式设计都像苹果耳机，特好用的产品好评
258,已经第三次购买，对于我这种超级费耳机的人来说，简直是福利，音质不比苹果店里的差
259,快递很给力，耳机效果很好，也很漂亮，满意的一次购物
260,佩戴感受：还可以，舒服 声音效果：挺棒的 外观材质：可以 特色功能：不错
261,刚到货我就迫不及待的拿来用，包装好，外观也不错，音质也还可以，总得来，很满意
262,好好好太好了物美价廉好好好！！会来追评的加油！！冲啊可以买的快递很快加油！
263,在这个特殊时期仍然发货，顺丰包邮很快，而且性价比很高，质量也不错，耳机本来就是消耗品，多买几条备用。
264,此用户没有填写评论!
265,刚去拿的快递，还不错哦！音量很好，舒适..
266,耳机特别好用 和原装正品的没啥太大区别 音质清晰 通话流畅
267,此用户没有填写评论!
268,音质很好，非常喜欢，下次还买这家
269,买过多次了，质量非常好，客服服务态度也很好，还会继续光顾的。
270,挺快就到了，试了试还不错，听音乐和语音通话都没有杂音，还有个收纳的小盒子，很满意了
271,收到货了，非常好的耳机，音质也不错的！
272,耳机质量很好 戴上也很舒服 不会有杂音 包装很过关
273,音质太好了，特别喜欢。
274,我想问老板赚钱吗？发顺丰，比我年前下的单都快。我年前买的东西现在都还没到。😂就冲着快递都是五星，而且耳机还不错，声音大而且清晰。颜值又高。奈司
275,耳机耳机已收到，效果不错不错的了，欢迎购买😀😄
276,东西很好  值得购买  试了一下很清晰  喜欢的赶紧的吧！！
277,音质很好 值得购买
278,挺好的，用了一个了，这个价钱买到这种耳机很值的
279,这耳麦音质还不错
280,很满意的一次购物，一次性买了2个。早上到的，用了几个小时才过来评价的。音质也很好，既便宜也好用
281,第二次购买了感觉十分不错支持
282,必须给好评！没想到收到货我会这么满意，便宜也有好货，跟老公一人一副！
283,"质量很好,价格美丽,好评妥妥的."
284,质量非常好，戴上非常舒服，值得购买，五星好评
285,挺好  音质也不错
286,可以啊，快递很给力。声音效果一般，感觉偏小一点点，别的都还好。
287,宝贝不错很喜欢 质量也不错 音质很好 很舒适 下次需要继续回购
288,包装精致，音质清晰，疫情期发顺丰很快，好评
289,十分的高端大气上档次，我能拥有他就相当于秦始皇统一大秦帝国一样，其实这样也只是为了几块钱！！！
290,声音效果：无电流音，很清晰 外观材质：跟实物一样
291,耳机收到了，耳机音质很好！我很满意！！！
292,收到货很快，这个价格包邮已经很划算了，这是我第二次买这个耳机了，而且这家的耳机是真的不错😁我觉得对学生党很友好(✪▽✪)
293,原装进口，很好很好，非常还算可以好用！
294,很好！！物流也快 便宜音质也不错 赞赞赞好评好评
